   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     6.897    1.78  1.63  1.42 82.   80.   56.    0.6   0.3   0.16
     6.916    1.77  1.62  1.38 82.   80.   56.    0.6   0.3   0.16
     6.920    1.78  1.64  1.38 82.   80.   56.    0.6   0.28  0.14
     6.925    1.77  1.64  1.4  82.   80.   58.    0.6   0.29  0.12
     6.955    1.76  1.63  1.38 82.   80.   56.    0.6   0.3   0.14
     6.975    1.77  1.64  1.42 82.   80.   56.    0.6   0.29  0.16
     6.992    1.76  1.62  1.42 82.   80.   58.    0.6   0.3   0.12
     6.996    1.78  1.63  1.4  82.   80.   56.    0.6   0.3   0.16
     7.006    1.76  1.64  1.42 82.   80.   56.    0.6   0.29  0.16
     7.020    1.77  1.62  1.4  82.   80.   56.    0.6   0.28  0.16
     7.026    1.77  1.63  1.38 82.   80.   56.    0.6   0.3   0.14
     7.120    1.76  1.62  1.38 82.   80.   58.    0.6   0.28  0.12
     7.145    1.78  1.62  1.4  82.   80.   56.    0.6   0.29  0.14
     7.154    1.77  1.63  1.42 82.   80.   58.    0.6   0.29  0.12
     7.196    1.76  1.64  1.4  82.   80.   58.    0.6   0.28  0.14
     7.254    1.76  1.64  1.38 82.   80.   58.    0.6   0.29  0.12
     7.301    1.77  1.62  1.42 82.   80.   56.    0.6   0.28  0.16
     7.352    1.76  1.63  1.42 82.   80.   58.    0.6   0.3   0.12
     7.355    1.76  1.62  1.42 82.   80.   56.    0.6   0.28  0.16
     7.379    1.76  1.63  1.4  82.   80.   58.    0.6   0.29  0.12
     7.386    1.76  1.63  1.4  82.   80.   56.    0.6   0.29  0.16
     7.491    1.78  1.63  1.38 82.   80.   56.    0.6   0.28  0.14
     7.502    1.77  1.64  1.38 82.   80.   56.    0.6   0.28  0.14
     7.504    1.77  1.63  1.4  82.   80.   58.    0.6   0.28  0.12
     7.512    1.76  1.64  1.38 82.   80.   58.    0.6   0.29  0.16
     7.623    1.77  1.64  1.38 82.   80.   58.    0.6   0.28  0.12
     7.640    1.76  1.63  1.42 82.   80.   56.    0.6   0.29  0.16
     7.664    1.77  1.62  1.42 82.   80.   56.    0.6   0.3   0.16
     7.680    1.78  1.63  1.38 82.   80.   56.    0.6   0.3   0.14
     7.699    1.77  1.62  1.4  82.   80.   56.    0.6   0.3   0.16
     7.730    1.77  1.63  1.38 82.   80.   56.    0.6   0.28  0.14
     7.734    1.76  1.62  1.38 82.   80.   58.    0.6   0.28  0.16
     7.751    1.78  1.63  1.42 82.   80.   58.    0.6   0.28  0.12
     7.783    1.76  1.63  1.38 82.   80.   58.    0.6   0.28  0.12
     7.843    1.78  1.63  1.4  82.   80.   56.    0.6   0.3   0.14
     7.849    1.77  1.64  1.38 82.   80.   56.    0.6   0.29  0.14
     7.849    1.76  1.62  1.38 82.   80.   56.    0.6   0.3   0.14
     7.879    1.76  1.62  1.4  82.   80.   58.    0.6   0.28  0.12
     7.926    1.78  1.64  1.38 82.   80.   56.    0.6   0.29  0.14
     7.932    1.78  1.64  1.4  82.   80.   58.    0.6   0.28  0.12
     7.982    1.76  1.62  1.42 82.   80.   58.    0.6   0.29  0.12
     7.983    1.77  1.62  1.42 82.   80.   58.    0.6   0.3   0.14
     8.003    1.76  1.64  1.4  82.   80.   58.    0.6   0.29  0.12
     8.018    1.76  1.64  1.42 82.   80.   58.    0.6   0.3   0.12
     8.041    1.77  1.62  1.42 82.   80.   58.    0.6   0.28  0.12
     8.141    1.77  1.62  1.38 82.   80.   56.    0.6   0.28  0.14
     8.174    1.78  1.62  1.38 82.   80.   56.    0.6   0.3   0.16
     8.180    1.78  1.64  1.4  82.   80.   56.    0.6   0.28  0.14
     8.188    1.77  1.64  1.42 82.   80.   58.    0.6   0.29  0.12
     8.198    1.77  1.62  1.38 82.   80.   56.    0.6   0.3   0.14
     8.204    1.77  1.63  1.38 82.   80.   58.    0.6   0.28  0.16
     8.301    1.76  1.63  1.42 82.   80.   58.    0.6   0.29  0.12
     8.313    1.78  1.62  1.38 82.   80.   58.    0.6   0.3   0.16
     8.317    1.77  1.63  1.38 82.   80.   56.    0.6   0.29  0.14
     8.318    1.78  1.64  1.4  82.   80.   56.    0.6   0.29  0.14
