   Chi^2    ('R1'  'R2'  'R3'  'Theta2'  'Theta3'  'Phi'  'q1'  'q2'  'q3')
    45.293    1.7   1.5   1.6  75.   75.   60.    0.5   0.25  0.2 
    45.416    1.7   1.6   1.4  80.   85.   65.    0.5   0.35  0.25
    45.425    1.7   1.6   1.5  75.   85.   65.    0.5   0.35  0.15
    45.454    1.7   1.5   1.5  75.   80.   65.    0.5   0.3   0.25
    45.461    1.7   1.4   1.6  75.   85.   65.    0.5   0.3   0.35
    45.477    1.6   1.6   1.6  75.   80.   65.    0.5   0.35  0.3 
    45.667    1.7   1.5   1.4  80.   80.   60.    0.5   0.25  0.25
    45.720    1.65  1.4   1.6  80.   75.   55.    0.5   0.2   0.25
    45.812    1.65  1.6   1.6  75.   75.   60.    0.5   0.3   0.25
    45.931    1.7   1.4   1.4  80.   75.   55.    0.5   0.15  0.15
    45.955    1.7   1.6   1.5  80.   85.   65.    0.5   0.25  0.25
    45.971    1.7   1.6   1.6  80.   80.   55.    0.5   0.15  0.2 
    46.018    1.7   1.5   1.6  85.   80.   55.    0.5   0.2   0.15
    46.071    1.65  1.4   1.6  80.   85.   65.    0.5   0.15  0.3 
    46.139    1.7   1.5   1.6  80.   75.   55.    0.5   0.25  0.2 
    46.162    1.65  1.5   1.6  75.   80.   65.    0.5   0.25  0.2 
    46.275    1.6  1.6  1.5 80.  80.  60.   0.5  0.3  0.2
    46.304    1.7   1.6   1.6  75.   80.   65.    0.5   0.3   0.15
    46.484    1.7   1.6   1.4  75.   75.   55.    0.5   0.2   0.15
    46.490    1.65  1.6   1.6  75.   80.   65.    0.5   0.35  0.25
    46.576    1.65  1.6   1.6  80.   75.   55.    0.5   0.25  0.2 
    46.594    1.7   1.6   1.6  75.   80.   65.    0.5   0.25  0.35
    46.837    1.65  1.6   1.5  80.   75.   55.    0.5   0.3   0.15
    46.938    1.6   1.6   1.6  75.   80.   65.    0.5   0.25  0.35
    46.940    1.7   1.6   1.6  85.   85.   60.    0.5   0.3   0.25
    47.029    1.7   1.4   1.4  80.   80.   60.    0.5   0.2   0.15
    47.036    1.7   1.6   1.6  80.   85.   65.    0.5   0.2   0.25
    47.052    1.7   1.5   1.5  80.   85.   65.    0.5   0.15  0.25
