   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    24.379    1.62   1.565  1.4   81.    80.    57.     0.5    0.3    0.1  
    24.427    1.62   1.58   1.38  81.    80.    56.     0.5    0.3    0.175
    24.517    1.62   1.55   1.42  81.    80.    56.     0.5    0.3    0.175
    24.611    1.62  1.55  1.38 81.   80.   58.    0.5   0.3   0.15
    24.828    1.64   1.58   1.42  81.    80.    56.     0.5    0.3    0.175
    25.126    1.62  1.58  1.42 81.   80.   56.    0.5   0.3   0.2 
    25.513    1.62   1.58   1.38  81.    80.    57.     0.5    0.3    0.175
    25.571    1.66   1.58   1.4   81.    80.    56.     0.5    0.3    0.125
    25.808    1.62   1.58   1.42  81.    80.    56.     0.5    0.3    0.125
    26.558    1.62   1.58   1.42  81.    80.    56.     0.5    0.3    0.175
    26.769    1.64   1.55   1.4   81.    80.    56.     0.5    0.3    0.125
    26.848    1.62  1.58  1.38 81.   80.   55.    0.5   0.3   0.15
    27.217    1.64   1.565  1.4   81.    80.    57.     0.5    0.3    0.15 
    27.375    1.62   1.565  1.4   81.    80.    56.     0.5    0.3    0.1  
    27.389    1.62  1.55  1.42 81.   80.   58.    0.5   0.3   0.1 
    27.462    1.62   1.55   1.42  81.    80.    57.     0.5    0.3    0.175
    27.702    1.62   1.58   1.38  81.    80.    58.     0.5    0.3    0.175
    27.918    1.66   1.58   1.42  81.    80.    57.     0.5    0.3    0.125
    28.363    1.62  1.58  1.42 81.   80.   58.    0.5   0.3   0.2 
    29.406    1.62   1.58   1.42  81.    80.    55.     0.5    0.3    0.125
    29.441    1.66  1.58  1.42 81.   80.   58.    0.5   0.3   0.1 
    29.587    1.66   1.58   1.38  81.    80.    55.     0.5    0.3    0.125
    30.388    1.62   1.565  1.4   81.    80.    55.     0.5    0.3    0.1  
    30.722    1.62   1.565  1.42  81.    80.    55.     0.5    0.3    0.2  
    30.850    1.64  1.55  1.42 81.   80.   57.    0.5   0.3   0.1 
    30.989    1.64  1.55  1.4  81.   80.   57.    0.5   0.3   0.1 
    31.027    1.66  1.58  1.4  81.   80.   58.    0.5   0.3   0.1 
    31.172    1.62   1.55   1.42  81.    80.    58.     0.5    0.3    0.175
    31.185    1.62   1.58   1.42  81.    80.    57.     0.5    0.3    0.175
    31.493    1.62   1.565  1.42  81.    80.    58.     0.5    0.3    0.1  
    31.526    1.62   1.58   1.4   81.    80.    58.     0.5    0.3    0.175
    31.902    1.64   1.58   1.42  81.    80.    57.     0.5    0.3    0.175
    32.004    1.64  1.55  1.38 81.   80.   57.    0.5   0.3   0.1 
    32.023    1.66   1.565  1.42  81.    80.    55.     0.5    0.3    0.1  
    32.333    1.62  1.58  1.4  81.   80.   58.    0.5   0.3   0.15
    32.599    1.62   1.58   1.4   81.    80.    57.     0.5    0.3    0.175
    32.733    1.62   1.565  1.42  81.    80.    57.     0.5    0.3    0.1  
    32.769    1.62   1.565  1.38  81.    80.    55.     0.5    0.3    0.175
    33.387    1.64   1.55   1.38  81.    80.    56.     0.5    0.3    0.125
    33.577    1.64   1.565  1.38  81.    80.    55.     0.5    0.3    0.15 
    33.949    1.66  1.58  1.38 81.   80.   58.    0.5   0.3   0.1 
    34.233    1.64  1.55  1.42 81.   80.   55.    0.5   0.3   0.15
    34.239    1.66   1.565  1.4   81.    80.    55.     0.5    0.3    0.1  
    34.349    1.64   1.565  1.4   81.    80.    58.     0.5    0.3    0.15 
    34.483    1.62   1.565  1.4   81.    80.    58.     0.5    0.3    0.175
    34.786    1.64   1.55   1.42  81.    80.    57.     0.5    0.3    0.125
    35.598    1.62  1.58  1.38 81.   80.   58.    0.5   0.3   0.1 
    35.696    1.62   1.565  1.38  81.    80.    57.     0.5    0.3    0.175
    35.817    1.62   1.565  1.42  81.    80.    56.     0.5    0.3    0.2  
    35.978    1.62   1.565  1.42  81.    80.    56.     0.5    0.3    0.1  
    36.164    1.66   1.58   1.4   81.    80.    57.     0.5    0.3    0.125
    36.390    1.62   1.55   1.4   81.    80.    55.     0.5    0.3    0.175
    36.598    1.62  1.58  1.4  81.   80.   58.    0.5   0.3   0.2 
    36.669    1.62  1.58  1.38 81.   80.   57.    0.5   0.3   0.1 
    37.276    1.64   1.58   1.4   81.    80.    55.     0.5    0.3    0.175
    37.418    1.62   1.565  1.38  81.    80.    56.     0.5    0.3    0.175
    37.508    1.66   1.565  1.38  81.    80.    55.     0.5    0.3    0.1  
    37.511    1.66   1.58   1.38  81.    80.    56.     0.5    0.3    0.125
    38.131    1.62   1.565  1.4   81.    80.    57.     0.5    0.3    0.175
    38.810    1.62   1.565  1.42  81.    80.    55.     0.5    0.3    0.1  
    39.335    1.64   1.565  1.38  81.    80.    56.     0.5    0.3    0.15 
    39.341    1.64   1.55   1.4   81.    80.    57.     0.5    0.3    0.125
    39.676    1.62  1.58  1.4  81.   80.   57.    0.5   0.3   0.2 
    39.721    1.62  1.58  1.38 81.   80.   56.    0.5   0.3   0.1 
    40.673    1.66   1.58   1.42  81.    80.    58.     0.5    0.3    0.125
    41.368    1.62  1.58  1.42 81.   80.   57.    0.5   0.3   0.2 
    42.138    1.62   1.55   1.4   81.    80.    56.     0.5    0.3    0.175
    43.327    1.62  1.58  1.38 81.   80.   55.    0.5   0.3   0.1 
    44.538    1.64  1.55  1.42 81.   80.   56.    0.5   0.3   0.15
    45.063    1.62  1.58  1.4  81.   80.   55.    0.5   0.3   0.2 
    45.584    1.64   1.565  1.42  81.    80.    55.     0.5    0.3    0.175
    45.985    1.62   1.565  1.38  81.    80.    58.     0.5    0.3    0.175
    46.210    1.62  1.58  1.4  81.   80.   58.    0.5   0.3   0.1 
    46.293    1.64   1.55   1.38  81.    80.    57.     0.5    0.3    0.125
    46.417    1.62   1.565  1.42  81.    80.    57.     0.5    0.3    0.2  
    46.527    1.64  1.55  1.42 81.   80.   58.    0.5   0.3   0.1 
    46.529    1.64  1.55  1.4  81.   80.   58.    0.5   0.3   0.1 
