   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    65.350    1.8   1.6   1.5  78.   82.   60.    0.5   0.35  0.25
    65.498    1.7   1.55  1.6  78.   78.   60.    0.5   0.35  0.25
    65.786    1.7   1.6   1.5  74.   74.   60.    0.5   0.35  0.3 
    66.000    1.7   1.55  1.5  78.   78.   60.    0.5   0.3   0.3 
    66.079    1.7   1.55  1.6  74.   82.   60.    0.5   0.3   0.25
    66.142    1.75  1.55  1.6  74.   78.   60.    0.5   0.35  0.25
    66.188    1.7   1.6   1.5  82.   82.   60.    0.5   0.35  0.2 
    66.287    1.8   1.6   1.55 74.   82.   60.    0.5   0.35  0.25
    66.336    1.75  1.55  1.6  74.   74.   60.    0.5   0.3   0.25
    66.457    1.8   1.55  1.6  82.   74.   60.    0.5   0.35  0.3 
    66.493    1.8   1.55  1.55 74.   74.   60.    0.5   0.3   0.2 
    66.748    1.75  1.55  1.5  78.   78.   60.    0.5   0.3   0.3 
    66.996    1.8   1.55  1.5  78.   74.   60.    0.5   0.35  0.3 
    67.080    1.7   1.55  1.55 78.   82.   60.    0.5   0.35  0.25
    67.208    1.7   1.65  1.5  78.   74.   60.    0.5   0.35  0.25
    67.430    1.7  1.6  1.5 74.  78.  60.   0.5  0.3  0.2
    67.473    1.7   1.55  1.6  74.   74.   60.    0.5   0.35  0.3 
    67.496    1.7  1.6  1.5 78.  78.  60.   0.5  0.3  0.3
